ax,ay,az,gx,gy,gz,label
-252,13576,3280,372,-188,1146,caminar
596,14040,3732,-1235,1683,2329,caminar
1072,14472,2368,-1152,2310,3235,caminar
2084,14628,736,-825,1088,2680,caminar
2804,14572,-80,-1543,1485,1861,caminar
3264,15652,120,-994,1161,1517,caminar
4068,15972,-380,-450,771,2170,caminar
3680,15356,180,-302,-694,2107,caminar
4192,19148,2416,-1211,-881,1697,caminar
4456,20640,1092,-2059,863,4663,caminar
5952,19304,1948,-1871,-1665,1820,caminar
4956,13592,4452,-750,-2958,2844,caminar
5004,11536,4736,-259,-1116,234,caminar
3928,13052,3296,-307,-1814,-2153,caminar
5072,15628,3576,-1562,120,-931,caminar
3304,12040,3356,-1124,-232,-430,caminar
3964,12256,1872,-1059,-1234,-2234,caminar
5416,14072,556,-79,-222,-1893,caminar
5912,15136,-168,186,11,-1534,caminar
6068,16688,384,1212,1020,-1193,caminar
6128,19352,2844,-178,1675,-1912,caminar
4472,18848,2052,-895,1851,524,caminar
3928,20124,1908,-269,1757,-1494,caminar
4324,17084,5788,489,736,-368,caminar
3072,15040,3976,836,1235,626,caminar
1104,13748,2668,-298,3967,2783,caminar
1452,14016,3952,193,4789,1483,caminar
2592,14404,3004,-430,3310,946,caminar
3504,14568,780,-157,1999,325,caminar
3856,14388,-156,253,1659,111,caminar
5156,15792,-244,238,1246,2037,caminar
4568,15096,968,546,447,2905,caminar
5060,16964,1032,-282,-846,2187,caminar
6488,18928,1952,-994,-1535,2076,caminar
4980,18244,3972,-2410,-2024,-676,caminar
7752,18672,4352,-937,-1564,695,caminar
4416,10332,4860,-320,-2658,297,caminar
5492,11288,4276,-705,-3831,-1827,caminar
5424,14176,4404,-2358,-2485,-2274,caminar
6672,16188,4452,-2005,-1680,-324,caminar
4724,12116,3724,-2020,-3204,-466,caminar
5660,13292,1876,-1720,-3488,-1555,caminar
5504,13224,1084,-1468,-3653,-1229,caminar
6428,14688,932,-215,-3971,-2200,caminar
6764,16660,1800,596,-4526,-2714,caminar
5724,17212,1888,-273,-3754,-3254,caminar
4524,16284,2232,-1077,-3289,-4413,caminar
6988,19944,6236,-3119,-5526,-6360,caminar
6440,17960,4380,-2348,-6619,-1971,caminar
2192,10836,4564,-2675,-9318,-1725,caminar
3544,13392,4468,-4019,-10292,-3834,caminar
3204,14732,6504,-6939,-9639,-3505,caminar
5740,17080,5144,-5309,-8936,-2249,caminar
3168,10952,6684,-5528,-10965,-1265,caminar
4492,13212,6340,-6704,-16188,-1606,caminar
4564,15168,2292,-7782,-18588,-8321,caminar
